image,attncheck_correct,response,attncheck_response,slide_number,vignette,audio,sentence,workerid,writer,kind,attncheck,slide_type,rating,Answer.time_in_minutes,condition,order
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",12,Writer 3,control,What is the name of the person in the story?,,7,1.2964166666666668,good,1
Mary,,"[0, 'Mary']",,1,,,,13,,,,bot_check,,1.1596,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",13,Writer 3,control,What is the name of the person in the story?,,1,1.1596,bad,1
Susan,,"[0, 'Susan']",,1,,,,14,,,,bot_check,,1.186,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",14,Writer 3,backshifting,Where does the narrator go in the story?,,6,1.186,must,1
Susan,,"[0, 'Susan']",,1,,,,15,,,,bot_check,,1.8748833333333332,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",15,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.8748833333333332,bare,1
Jessica,,"[0, 'Jessica']",,1,,,,16,,,,bot_check,,1.9399833333333334,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire must be approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>
",16,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,1.9399833333333334,must,1
Linda,,"[0, 'Linda']",,1,,,,17,,,,bot_check,,1.33335,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",17,Writer 3,backshifting,What is the name of the dog in the story?,,1,1.33335,bare,1
Jennifer,,"[0, 'Jennifer']",,1,,,,18,,,,bot_check,,0.21193333333333333,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",18,Writer 3,backshifting,Where does the narrator go in the story?,,7,0.21193333333333333,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,19,,,,bot_check,,1.4730666666666667,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",19,Writer 3,backshifting,What is the name of the dog in the story?,,6,1.4730666666666667,clear,1
Jessica,,"[0, 'Jessica']",,1,,,,20,,,,bot_check,,2.6573166666666665,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",20,Writer 3,backshifting,What did the narrator eat in the story?,,5,2.6573166666666665,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,21,,,,bot_check,,1.5181166666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",21,Writer 3,backshifting,What did the narrator eat in the story?,,5,1.5181166666666666,must,1
Linda,,"[0, 'linda']",,1,,,,22,,,,bot_check,,0.9668,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",22,Writer 3,backshifting,Where does the narrator go in the story?,,7,0.9668,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,23,,,,bot_check,,0.7404166666666666,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",23,Writer 3,backshifting,What is the name of the dog in the story?,,6,0.7404166666666666,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,24,,,,bot_check,,1.75225,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",24,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,4,1.75225,bare,1
Susan,,"[0, 'Susan']",,1,,,,25,,,,bot_check,,1.1176333333333333,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",25,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.1176333333333333,clear,1
Linda,,"[0, 'Linda']",,1,,,,26,,,,bot_check,,2.63905,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",26,Writer 3,backshifting,What did the narrator eat in the story?,,4,2.63905,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,27,,,,bot_check,,1.2270833333333333,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",27,Writer 3,backshifting,What is the name of the dog in the story?,,1,1.2270833333333333,must,1
Mary,,"[0, 'Mary']",,1,,,,28,,,,bot_check,,2.317283333333333,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",28,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,3,2.317283333333333,must,1
Patricia,,"[0, 'Patricia']",,1,,,,29,,,,bot_check,,0.8630833333333333,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",29,Writer 3,backshifting,What is the name of the roommate in the story?,,6,0.8630833333333333,must,1
Sarah,,"[0, 'Sarah']",,1,,,,30,,,,bot_check,,1.4414666666666667,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",30,Writer 3,backshifting,What did the narrator eat in the story?,,1,1.4414666666666667,must,1
Barbara,,"[0, 'Barbara']",,1,,,,31,,,,bot_check,,1.6223166666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",31,Writer 3,backshifting,What did the narrator eat in the story?,,7,1.6223166666666666,clear,1
Margaret,,"[0, 'Margaret']",,1,,,,32,,,,bot_check,,0.6083166666666666,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",32,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,0.6083166666666666,bare,1
Patricia,,"[0, 'Patricia']",,1,,,,33,,,,bot_check,,0.8353833333333334,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",33,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,0.8353833333333334,bare,1
Mary,,"[0, 'Mary']",,1,,,,34,,,,bot_check,,2.1759,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",34,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,2.1759,must,1
Barbara,,"[0, 'Barbara']",,1,,,,35,,,,bot_check,,0.8634,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",35,Writer 3,backshifting,Where does the narrator go in the story?,,1,0.8634,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,36,,,,bot_check,,0.7105666666666667,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",36,Writer 3,backshifting,What is the name of the dog in the story?,,1,0.7105666666666667,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,37,,,,bot_check,,0.6850166666666667,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>",37,Writer 3,3rdpartyshift,What is the name of the character in the story?,,7,0.6850166666666667,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,38,,,,bot_check,,0.9858833333333333,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",38,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,0.9858833333333333,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,39,,,,bot_check,,1.6498666666666666,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",39,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.6498666666666666,clear,1
Mary,,"[0, 'Mary']",,1,,,,40,,,,bot_check,,0.7301166666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",40,Writer 3,backshifting,What did the narrator eat in the story?,,7,0.7301166666666666,must,1
Jessica,,"[0, 'Jessica']",,1,,,,41,,,,bot_check,,0.7398333333333333,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",41,Writer 3,control,What is the name of the person in the story?,,7,0.7398333333333333,good,1
Linda,,"[0, 'Linda']",,1,,,,42,,,,bot_check,,1.0083333333333333,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",42,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,5,1.0083333333333333,bare,1
Sarah,,"[0, 'Sarah']",,1,,,,43,,,,bot_check,,1.6308833333333332,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",43,Writer 3,backshifting,What did the narrator eat in the story?,,7,1.6308833333333332,must,1
Patricia,,"[0, 'Patricia']",,1,,,,44,,,,bot_check,,0.4486833333333333,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",44,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,6,0.4486833333333333,must,1
Jennifer,,"[0, 'Jennifer']",,1,,,,45,,,,bot_check,,1.5223833333333334,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",45,Writer 3,backshifting,What did the narrator eat in the story?,,4,1.5223833333333334,must,1
Linda,,"[0, '']",,1,,,,46,,,,bot_check,,0.5032166666666666,,
Linda,,"[0, 'Linda']",,1,,,,46,,,,bot_check,,0.5032166666666666,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",46,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,0.5032166666666666,must,1
Barbara,,"[0, 'Barbara']",,1,,,,47,,,,bot_check,,1.0129833333333333,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",47,Writer 3,backshifting,What is the name of the roommate in the story?,,1,1.0129833333333333,clear,1
Linda,,"[0, 'lina']",,1,,,,2,,,,bot_check,,0.4925333333333333,,
Linda,,"[0, 'linda']",,1,,,,2,,,,bot_check,,0.4925333333333333,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",2,Writer 3,backshifting,Where does the narrator go in the story?,,6,0.4925333333333333,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,48,,,,bot_check,,4.919783333333333,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",48,Writer 3,backshifting,What did the narrator eat in the story?,,4,4.919783333333333,clear,1
Jennifer,,"[0, 'Jennifer']",,1,,,,49,,,,bot_check,,1.1318166666666667,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",49,Writer 3,backshifting,Where does the narrator go in the story?,,4,1.1318166666666667,must,1
Sarah,,"[0, 'Sarah']",,1,,,,50,,,,bot_check,,1.9467166666666667,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",50,Writer 3,backshifting,What is the name of the roommate in the story?,,1,1.9467166666666667,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,51,,,,bot_check,,0.7852666666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",51,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,0.7852666666666667,clear,1
Sarah,,"[0, 'Sarah']",,1,,,,52,,,,bot_check,,1.0485833333333334,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",52,Writer 3,backshifting,What is the name of the dog in the story?,,6,1.0485833333333334,bare,1
Mary,,"[0, 'mary']",,1,,,,53,,,,bot_check,,1.8027666666666666,,
,choice1,,choice2,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>",53,Writer 3,3rdpartyshift,What is the name of the character in the story?,,6,1.8027666666666666,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,54,,,,bot_check,,1.6737666666666666,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",54,Writer 3,backshifting,What did the narrator eat in the story?,,6,1.6737666666666666,must,1
Jessica,,"[0, 'Jessica']",,1,,,,55,,,,bot_check,,1.3953333333333333,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",55,Writer 3,backshifting,What is the name of the dog in the story?,,6,1.3953333333333333,must,1
Sarah,,"[0, 'Sarah']",,1,,,,56,,,,bot_check,,0.6107833333333333,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it must have been raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",56,Writer 3,backshifting,What is the name of the roommate in the story?,,2,0.6107833333333333,must,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,57,,,,bot_check,,0.7361333333333333,,
,choice1,,choice2,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",57,Writer 3,control,What is the name of the person in the story?,,2,0.7361333333333333,bad,1
Mary,,"[0, 'Mary']",,1,,,,58,,,,bot_check,,2.84495,,
